date,tag,sample_number,time,e2,vtg,t,output,curved_carapace_length,straight_carapace_length
2023-07-09,CH11711/12,22(1)-11,1:33,13,354,2391.449,151,83.8,85.3
2023-07-24,CH11711/12,41(1)-11,0:09,11,848,2972.042,,NA,NA
2023-08-09,CH11711/12,49(1)-11,21:10,,,,,86.63,NA
2023-06-02,CH11723/30,4(1)-23,22:25,12,10,,,89.5,86.9
2023-05-31,CH12410/11,3(1)-10,23:42,14,213,2284.099,192,88.7,85.7
2023-06-15,CH12410/11,8(1)-10,23:03,5,881,2227.444,,88.13,84.7
2023-07-16,CH12410/11,33(1)-10,0:35,8,708,,172,88.1,NA
2023-05-30,CH12456/57,2(1)-56,21:57,15,100,,182,87.86,NA
2023-07-05,CH12461/62,21(1)-61,3:00,7,325,1199.224,163,83.6,79.54
2023-07-20,CH12461/62,36(1)-61,22:31,9,577,,,85.1,81.3
2023-05-27,CH12463/64,1(1)-63,18:30,15,549,,132,81.96,NA
2023-06-05,CH12465/66,5(1)-65,21:57,9,382,1731.587,166,81.27,76.26
2023-06-07,CH12468/69,6(1)-69,0:27,13,164,,152,83.53,78.4
2023-06-22,CH12468/69,10(1)-68,22:01,5,723,2856.047,158,83.36,79.53
2023-07-05,CH12468/69,20(1)-68,5:27,6,517,,167,85.5,81.4
2023-07-19,CH12468/69,35(1)-68,21:40,10,7,682.290,123,83.9,79.6
2023-08-02,CH12468/69,45(1)-68,21:10,14,727,,,83.43,NA
2023-06-15,CH12470/71,7(1)-70,22:12,5,666,,,87.6,84.06
2023-06-28,CH12470/71,17(1)-70,0:43,12,360,3388.401,,,
2023-07-11,CH12470/71,25(1)-70,0:39,6,335,3095.450,,86.2,83.5
2023-07-24,CH12470/71,40(1)-70,22:46,8,456,2532.951,155,87.4,83.83
2023-06-16,CH12472/74,9(1)-72,0:21,5,886,1555.537,,92.3,82.8
2023-07-14,CH12472/74,27(1)-72,1:20,13,428,1837.992,201,93.5,86.2
2023-06-23,CH12475/76,11(1)-75,22:15,15,,2428.866,,81.76,75.9
2023-06-25,CH12477/06,12(1)-77,23:33,7,585,693.624,,90.53,NA
2023-06-26,CH12477/07,13(1)-77,0:58,5,739,749.792,188,90.43,83.96
2023-07-09,CH12477/07,23(1)-77,0:59,13,639,,157,84.1,NA
2023-06-27,CH12478/79,14(1)-78,3:18,13,657,391.780,168,84.2,80.5
2023-06-27,CH12480/81,15(1)-80,4:52,10,670,3608.851,149,84.5,80.8
2023-06-27,CH12482/83,16(1)-82,5:52,5,690,,122,81.3,76.3
2023-07-16,CH12482/83,34(1)-82,1:37,10,204,1320.618,138,80.8,76
2023-07-16,CH12484/85,30(1)-84,21:39,9,405,,,84.3,NA
2023-07-16,CH12484/85,32(1)-84,23:54,15,654,3113.726,169,83.5,79.1
2023-07-03,CH12486/87,18(1)-86,22:27,15,,489.998,128,84.13,79.9
2023-07-03,CH12488/89,19(1)-88,22:27,11,,269.234,129,79,73
2023-07-13,CH12491/92,26(1)-91,0:41,7,46,2079.069,154,80.7,77.4
2023-07-14,CH12493/94,28(1)-93,3:05,5,,1189.298,175,84.7,82.6
2023-07-15,CH12495/96,29(1)-95,21:10,6,892,,183,82.7,76.7
2023-07-16,CH12497/98,31(1)-97,22:32,8,455,2872.189,167,84,78.6
2023-07-24,CH12499/500,38(1)-99,21:44,12,,1655.234,,84.13,80
2023-07-26,CH12499/500,42(1)-99,21:15 (09:15),7,158,1407.725,149,85.13,NA
2023-08-07,CH12499/500,47(1)-99,21:41,8,502,,,82.7,NA
2023-08-08,CH12499/500,48(1)-99,23:46,11,163,599.715,,81.93,NA
2023-07-09,CH13401/02,24(1)-01,23:37,5,325,2049.096,193,81.9,78
2023-07-23,CH13401/02,37(1)-01,22:12,14,135,,,84.43,NA
2023-07-24,CH13407/08,39(1)-07,22:40,5,96,1890.077,,82.7,NA
2023-08-07,CH13407/08,46(1)-07,23:30,12,694,,,90.66,NA
2023-07-27,CH13409/10,43(1)-09,21:39,5,226,,,85.15,NA
2023-07-31,CH13411/12,44(1)-11,21:24,5,589,988.593,,83.6,NA
,,,,,,,,,
,,,,,,,,,